"","pcap","experiment","pkts_processed","total_baseline_alerts","total_experiment_alerts","total_baseline_alerts.1","total_experiment_alerts.1","avg_num_rules_compared_to","avg_num_contents_compared_to","avg_num_pcre_compared_to","pkts_fowarded_percent","pkts_fowarded_absolute","alerts_true_positive_percent","alerts_true_positive_absolute","alerts_false_positive_percent","alerts_false_positive_absolute","nids_processing_time"
"27","Monday","packet_sampling_5_5",11626492,7162,5316,7162,5316,0,0,0,"24.66",2866821,"74.14",5310,"0.11",6,17.7536861896515
"28","Monday","packet_sampling_50_10",11626492,7162,7161,7162,7161,0,0,0,"43.43",5049246,"99.92",7156,"0.07",5,19.7980360984802
"29","Monday","packet_sampling_50_25",11626492,7162,7161,7162,7161,0,0,0,"42.30",4918522,"99.94",7158,"0.04",3,19.815491437912
"30","Monday","packet_sampling_50_5",11626492,7162,7161,7162,7161,0,0,0,"43.79",5091353,"99.85",7151,"0.14",10,19.8595111370087
"31","Monday","rule_based_extended",11626492,7162,5500,7162,5500,0,0,0,"17.45",2029289,"76.72",5495,"0.09",5,16.7305517196655
"32","Monday","rule_based_extended_old",11626492,7162,4600,7162,4600,1057.7609657324,565.945865270453,0.277551904736184,"18.59",2161050,"64.16",4595,"0.11",5,17.1281232833862
"33","Monday","rule_based_fast_pattern",11626492,7162,375,7162,375,0,0,0,"26.79",3114236,"5.19",372,"0.80",3,19.3762333393097
"34","Monday","rule_based_fast_pattern_old",11626492,7162,375,7162,375,323.66112796534,167.736414732836,0,"26.79",3114236,"5.18",371,"1.07",4,19.1504621505737
"35","Monday","rule_based_header_only",11626492,7162,419,7162,419,0,0,0,"56.39",6555604,"5.78",414,"1.19",5,38.1998515129089
"36","Monday","rule_based_header_only_old",11626492,7162,419,7162,419,10.5764358673278,0,0,"56.39",6555604,"5.79",415,"0.95",4,31.2795758247375
"37","Thursday","packet_sampling_10_10",9240723,831,821,831,821,0,0,0,"33.41",3087059,"98.07",815,"0.73",6,17.7689430713654
"38","Thursday","packet_sampling_10_25",9240723,831,821,831,821,0,0,0,"26.94",2489119,"97.11",807,"1.71",14,17.1976356506348
