"","pcap","experiment","pkts_processed","total_baseline_alerts","total_experiment_alerts","total_baseline_alerts.1","total_experiment_alerts.1","avg_num_rules_compared_to","avg_num_contents_compared_to","avg_num_pcre_compared_to","pkts_filtered_percent","pkts_filtered_absolute","alerts_true_positive_percent","alerts_true_positive_absolute","alerts_false_positive_percent","alerts_false_positive_absolute","nids_processing_time"
"1","Backdoor_Malware","packet_sampling_10_10",30399,134,134,134,134,0,0,0,"41.99",12765,"100.00",134,"0.00",0,10.6552135944366
"2","Backdoor_Malware","packet_sampling_10_25",30399,134,134,134,134,0,0,0,"49.96",15187,"100.00",134,"0.00",0,6.73780083656311
"3","Backdoor_Malware","packet_sampling_10_5",30399,134,134,134,134,0,0,0,"29.63",9008,"100.00",134,"0.00",0,12.4483413696289
"4","Backdoor_Malware","packet_sampling_25_10",30399,134,134,134,134,0,0,0,"28.52",8671,"100.00",134,"0.00",0,6.64704847335815
"5","Backdoor_Malware","packet_sampling_25_25",30399,134,134,134,134,0,0,0,"32.71",9945,"100.00",134,"0.00",0,6.62448692321777
"6","Backdoor_Malware","packet_sampling_25_5",30399,134,134,134,134,0,0,0,"19.95",6064,"100.00",134,"0.00",0,6.57981705665588
"7","Backdoor_Malware","packet_sampling_5_10",30399,134,133,134,133,0,0,0,"52.91",16084,"99.25",133,"0.00",0,12.8713161945343
"8","Backdoor_Malware","packet_sampling_5_25",30399,134,133,134,133,0,0,0,"61.50",18695,"99.25",133,"0.00",0,13.2855021953583
"9","Backdoor_Malware","packet_sampling_5_5",30399,134,133,134,133,0,0,0,"38.68",11759,"99.25",133,"0.00",0,11.5305235385895
"10","Backdoor_Malware","packet_sampling_50_10",30399,134,134,134,134,0,0,0,"16.35",4970,"100.00",134,"0.00",0,13.9304370880127
