"","day","experiment","suspicious_pkts_percent","pkt_alerts_true_positives_percent","flow_alerts_true_positives_percent","pkt_processing_time","snort_processing_time"
"76","Friday","flow_sampling_3_20","18.07","70.94","70.20",2.27862402519992e-05,14.771115064621
"77","Friday","flow_sampling_5_10","32.32","94.14","96.32",2.27276243933916e-05,36.3869152069092
"78","Friday","flow_sampling_5_20","25.94","93.19","95.72",2.29780419742709e-05,34.0168378353119
"79","Friday","flow_sampling_5_50","25.76","93.01","95.71",2.28932518111367e-05,43.7755360603333
"80","Friday","FS N=10 T=10","43.89","97.25","98.51",2.29247641375291e-05,68.9992518424988
"81","Friday","FS N=5 T=100","22.43","92.19","95.70",2.26640851139905e-05,43.2998762130737
"82","Friday","Our work","18.29","92.63","90.19",0.00141314999027207,26.6160893440247
"83","Friday","pre_filtering_full","14.53","94.47","93.76",0.00150194589489301,26.7421178817749
"84","Friday","pre_filtering_full_new_after","17.50","94.46","93.76",0.00150927121217836,27.0006597042084
"85","Friday","pre_filtering_full_new_before","15.05","93.90","92.74",0.00140021502954337,24.3100121021271
"86","Friday","pre_filtering_full_stream_tcp_before","16.81","92.13","89.73",0.00139336441093741,25.6026563644409
"87","Friday","pre_filtering_test_new_pa","16.70","91.75","89.18",0.00144457016486164,25.0142097473145
"88","Friday","pre_filtering_test_no_fin","13.17","90.78","87.50",0.00147903347696132,20.1693277359009
"89","Friday","pre_filtering_test_no_fin_removal","19.26","92.61","90.18",0.00140719963210142,27.0185806751251
"90","Friday","Wang and Chang","51.41","89.99","86.33",0.0011188443412617,128.799583911896
